title,description,priority,labels,project,cycle
"FS-001 - Congelar objetivo y promesa MVP","Documentar para quien es el MVP, para quien no es, y cual es la promesa exacta del Weekly Adaptive Coach. Acceptance criteria: 1) Existe una definicion unica de objetivo, usuario objetivo y promesa del MVP. 2) Queda explicitado el non-target para esta primera version. 3) El resto de issues P0 pueden referenciar esta definicion como fuente comun. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_PRD.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md | docs/strategy/LINEAR_INITIAL_LOAD_PLAN.md",0,"area/product, phase-0, type/story, surface/trust, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-002 - Cerrar scope in/out del MVP","Listar que entra y que no entra en el MVP por surface para reducir ambiguedad. Acceptance criteria: 1) Existe una lista clara de surfaces y funcionalidades dentro del MVP. 2) Existe una lista clara de exclusiones para launch. 3) Las decisiones de alcance quedan alineadas con la promesa definida en FS-001. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_BLUEPRINT.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_PRD.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/product, phase-0, type/story, risk/scope, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-003 - Definir release gates del MVP","Fijar criterios minimos de release funcional, safety y analytics para decidir go/no-go. Acceptance criteria: 1) Existe una lista cerrada de gates de release del MVP. 2) Los gates incluyen criterios funcionales, de seguridad y de medicion. 3) Se define quien valida cada gate antes de marcar release-ready. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_PRD.md | docs/strategy/LINEAR_INITIAL_LOAD_PLAN.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/product, phase-0, type/story, area/trust-safety, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-005 - Definir entidades del loop semanal","Cerrar el modelo minimo de entidades y estados del loop semanal. Acceptance criteria: 1) Se definen entidades minimas como perfil, semana, check-in, decision y adaptacion. 2) Cada entidad tiene campos obligatorios y estados base. 3) Quedan claras las relaciones entre entidades y transiciones principales. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_DATA_CONTRACTS.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_IMPLEMENTATION_MAP.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/backend, phase-0, type/story, area/data, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-006 - Definir contrato app <-> decision engine","Versionar los payloads de entrada y salida entre app y motor de decision. Acceptance criteria: 1) Existe un contrato de entrada y salida versionado. 2) El contrato cubre campos requeridos, opcionales y fallback esperado. 3) El equipo puede usar ejemplos de payload para build y QA. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_DATA_CONTRACTS.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_API_PLAN.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_IMPLEMENTATION_MAP.md",0,"area/backend, area/ai, phase-0, type/story, risk/dependency, ready/defined","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-007 - Definir taxonomia de eventos analytics","Especificar los eventos y propiedades minimas para medir el loop de punta a punta. Acceptance criteria: 1) Cada surface core tiene al menos un evento principal definido. 2) Cada evento incluye actor, trigger y propiedades minimas. 3) La taxonomia permite reconstruir el funnel semanal end-to-end. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_DATA_CONTRACTS.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_IMPLEMENTATION_MAP.md | docs/strategy/LINEAR_INITIAL_LOAD_PLAN.md",0,"area/analytics, area/data, phase-0, type/story, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-010 - Definir reglas MVP de decision","Bajar a reglas operativas las decisiones mantener, ajustar, simplificar y rediseniar. Acceptance criteria: 1) Existe una sola decision principal posible por check-in. 2) Cada decision tiene reglas de activacion y limites claros. 3) Quedan definidos outputs permitidos para el MVP. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_TECH_ARCHITECTURE.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_IMPLEMENTATION_MAP.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/ai, phase-0, type/story, surface/decision, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-014 - Definir triggers de seguridad y deferencia","Explicitar cuando el sistema no debe adaptar normalmente y debe usar un comportamiento conservador. Acceptance criteria: 1) Existe una lista aprobada de triggers de riesgo MVP. 2) Cada trigger define el comportamiento esperado del sistema. 3) Queda claro cuando se congela una adaptacion agresiva. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_PRD.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_TECH_ARCHITECTURE.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/trust-safety, phase-0, type/story, risk/safety, ready/defined, segment/initial","Phase 0 - Foundations","C1 - Foundations Freeze"
"FS-011 - Definir reason codes internos y visibles","Crear una taxonomia corta y reusable de reason codes para explicar decisiones del coach. Acceptance criteria: 1) Cada decision principal tiene reason codes asociados. 2) Los reason codes existen en version interna y version visible para usuario. 3) La taxonomia evita lenguaje generico o contradictorio. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_DATA_CONTRACTS.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_IMPLEMENTATION_MAP.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/ai, phase-0, type/story, surface/decision, ready/defined, segment/initial","Phase 0 - Foundations","C2 - UX + Contracts"
"FS-015 - Definir UX de safety y fallback","Definir mensaje, CTA y comportamiento visible cuando el sistema entra en modo conservador. Acceptance criteria: 1) Existe copy base para estados de safety y fallback. 2) Se define CTA o siguiente accion esperada para el usuario. 3) El comportamiento visible queda alineado con los triggers de FS-014. Related docs: docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_UX_CHECKLIST.md | docs/strategy/WEEKLY_ADAPTIVE_COACH_MVP_PRD.md | docs/strategy/EXECUTION_BACKLOG_V1_LINEAR.md",0,"area/design, area/trust-safety, phase-0, type/story, surface/trust, ready/defined","Phase 0 - Foundations","C2 - UX + Contracts"
