title,description,priority,labels,project,cycle
"BFS-001 - Freeze PRO AI Body Fat Scan promise and eligibility","Definir de forma cerrada que promete el feature, para quien existe y bajo que condiciones PRO puede usarse. Acceptance criteria: 1) Existe una definicion unica del feature y su promesa. 2) Queda explicito que es PRO-only y las condiciones de elegibilidad. 3) Quedan listados los casos fuera de alcance para esta primera entrega. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md | docs/strategy/COACH_BODYSCAN_MEALPHOTO_CHECKPOINT_2026-04-10.md",0,"area/product, area/ai, phase-1, type/story, surface/trust, ready/defined","PRO AI Body Fat Scan","C1 - Scope + Contract Freeze"
"BFS-002 - Define AI body-fat scan request and result contract","Versionar el contrato de request/result para alinear UI, orquestacion, persistencia y estados del scan. Acceptance criteria: 1) Existe payload versionado de request con inputs requeridos y opcionales. 2) Existe payload versionado de resultado con state, confidence, limitations y metadata visible. 3) El contrato define insufficient-data, blocked y completed de forma consistente. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",0,"area/backend, area/ai, type/story, risk/dependency, ready/defined","PRO AI Body Fat Scan","C1 - Scope + Contract Freeze"
"BFS-003 - Define trust, disclaimer, and low-confidence policy","Cerrar lenguaje permitido y comportamiento visible para estados de baja confianza, insuficiencia de datos y guidance de usuario. Acceptance criteria: 1) Existe copy base no medico y no diagnostico. 2) Los estados low-confidence e insufficient-data tienen comportamiento visible definido. 3) Queda claro cuando mostrar retry, guidance adicional o deferencia. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",0,"area/product, area/trust-safety, type/story, risk/safety, surface/trust, ready/defined","PRO AI Body Fat Scan","C1 - Scope + Contract Freeze"
"BFS-004 - Define analytics taxonomy and success funnel","Especificar la taxonomia de eventos para medir exposure, upgrade, bloqueos, ejecucion, resultado y errores del feature. Acceptance criteria: 1) Existe taxonomia para entrypoint_viewed, upgrade_clicked, preflight_blocked, scan_started, scan_completed, scan_failed y result_viewed. 2) El funnel permite medir uso PRO vs bloqueos por entitlement o tokens. 3) Se definen propiedades minimas para origen, estado y motivo de bloqueo. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",0,"area/analytics, area/data, type/story, ready/defined","PRO AI Body Fat Scan","C1 - Scope + Contract Freeze"
"BFS-005 - Wire PRO entitlement and token preflight for scan execution","Conectar la ejecucion del scan con la politica real de entitlement y tokens usando la capa compartida de preflight AI. Acceptance criteria: 1) La ejecucion no corre sin pasar entitlement, estimacion y validacion de balance. 2) El comportamiento bloqueado por plan o tokens es visible y consistente. 3) La regla se implementa como consumo de la capa compartida, no como logica ad hoc del page flow. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md | docs/strategy/COACH_BODYSCAN_MEALPHOTO_CHECKPOINT_2026-04-10.md",0,"area/backend, area/ai, type/story, risk/dependency, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
"BFS-006 - Finalize insufficient-data and validation rules for scan input","Definir el umbral minimo de datos y fotos para correr el scan y la orientacion visible cuando el input no alcanza. Acceptance criteria: 1) Quedan definidas validaciones minimas de fotos y contexto requerido. 2) Existe comportamiento visible para input incompleto o no valido. 3) La UI puede orientar al usuario sin inventar resultados. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",1,"area/product, area/frontend, type/story, risk/data-quality, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
"BFS-007 - Build PRO entrypoints, locked states, and upgrade path","Definir y construir entrypoints del feature, estados locked y CTA de upgrade para usuarios no elegibles. Acceptance criteria: 1) Existe al menos un entrypoint primario y uno secundario definidos. 2) Los estados locked muestran expectativa correcta y CTA de upgrade. 3) El feature no parece disponible para usuarios no elegibles. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",1,"area/frontend, area/product, type/story, surface/home, surface/trust, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
"BFS-008 - Build AI execution orchestration and persisted scan lifecycle","Implementar el lifecycle visible y persistido del scan desde validacion hasta completion o failure. Acceptance criteria: 1) Existe flujo consistente idle -> validating -> blocked/running -> completed/failed. 2) El resultado o estado final queda persistido y rehidratable. 3) El usuario no pierde contexto si sale y vuelve a entrar. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",0,"area/frontend, area/backend, area/ai, type/story, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
"BFS-009 - Build scan results UX with confidence and next actions","Construir la experiencia de resultados con estimacion, confidence, limitations y siguiente accion clara. Acceptance criteria: 1) El resultado muestra estimacion, confidence y limitations en el mismo surface. 2) El copy no usa framing medico ni promesas garantizadas. 3) Existe siguiente accion clara despues del resultado. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md",0,"area/frontend, area/design, area/ai, type/story, surface/decision, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
"BFS-010 - Add retry, failure, and support states for blocked scans","Cubrir estados de bloqueo, error tecnico, baja confianza y soporte sin mostrar fallback enganoso como si fuera resultado real. Acceptance criteria: 1) Existen estados diferenciados para bloqueo por eligibility, bloqueo por tokens, error tecnico y baja confianza. 2) Cada estado tiene CTA coherente: retry, upgrade, corregir fotos o soporte. 3) No se muestra fallback enganoso como si fuera un resultado real. Related docs: docs/strategy/PRO_AI_BODY_FAT_SCAN_LINEAR_PLAN.md | docs/strategy/BODY_SCAN_LINEAR_EPIC.md | docs/strategy/COACH_BODYSCAN_MEALPHOTO_CHECKPOINT_2026-04-10.md",1,"area/frontend, area/trust-safety, type/story, surface/trust, ready/defined","PRO AI Body Fat Scan","C2 - PRO Scan Build"
